,BP,CVX,XOM,XOM.1,RDS.A,RDS.B,AMX,CX,FMX,ALFAA,PAC,BIMBOA,GISSAA,ANB,SANMEXB,SIEN,AZTECACPO,TV,WALMEX,DATE
105,66.4772727273,91.0081818182,91.1327272727,91.1327272727,74.7309090909,73.6540909091,31.7572727273,25.9320454545,43.7968181818,7.49,43.945,17.0095454545,17.8063636364,,19.7633333333,,,24.8045454545,44.9345454545,2008-04-01
106,73.3171428571,98.7380952381,90.6357142857,90.6357142857,82.840952381,81.9547619048,28.7895238095,28.3248333333,45.399047619,7.4785,37.1419047619,16.519,17.2621052632,,18.9666666667,,,26.0695238095,44.4295,2008-05-01
107,68.8057142857,98.7438095238,87.3719047619,87.3719047619,80.7576190476,79.0395238095,27.4504761905,24.8695238095,43.610952381,7.45857142857,33.3647619048,16.4842857143,15.8914285714,,17.9351645556,,,24.5419047619,42.5642857143,2008-06-01
108,63.3809090909,89.4263636364,83.5809090909,83.5809090909,75.0340909091,74.0195454545,25.2659090909,21.6725909091,44.5254545455,6.69954545455,29.2295454545,16.0431818182,15.1663636364,,15.705,,,22.8913636364,40.2913636364,2008-07-01
109,58.8952380952,85.1952380952,78.6261904762,78.6261904762,68.8714285714,67.7,25.2826190476,20.134047619,46.8423809524,5.77285714286,28.3771428571,16.8314285714,13.419047619,,,,,24.1561904762,39.399047619,2008-08-01
110,53.280952381,82.9547619048,76.9238095238,76.9238095238,61.8357142857,60.2,23.5728571429,18.2168571429,42.3280952381,5.26,27.1414285714,16.999,13.243,,17.1,,,22.4152380952,37.92,2008-09-01
111,45.5865217391,69.1504347826,71.9743478261,71.9743478261,51.2439130435,50.1160869565,16.737826087,8.45343478261,28.3030434783,3.62,19.2508695652,14.9995652174,7.40857142857,,16.96,,,16.9313043478,32.197826087,2008-10-01
112,46.2005263158,73.3331578947,74.7089473684,74.7089473684,51.0842105263,50.8031578947,15.34,5.71684210526,27.2173684211,2.61555555556,19.0710526316,15.7688888889,3.71294117647,,16.3,,,15.3147368421,33.8116666667,2008-11-01
113,45.8272727273,74.2913636364,78.075,78.075,51.7354545455,50.2963636364,15.62,8.28711818182,29.0540909091,2.90523809524,21.3281818182,14.849047619,3.97333333333,,,,,15.2013636364,36.1757142857,2008-12-01
114,44.5725,72.2505,78.2435,78.2435,51.393,49.752,14.94375,8.8875,29.2995,2.8065,19.965625,13.2455,4.1765,,,,,14.973,32.9175,2009-01-01
115,41.9626315789,68.3010526316,74.2894736842,74.2894736842,48.69,47.4094736842,14.0923684211,6.96686315789,25.6284210526,2.24277777778,18.1605263158,11.3888888889,2.72,,,,,12.9357894737,29.4077777778,2009-02-01
116,38.4659090909,63.8436363636,67.3154545455,67.3154545455,44.0927272727,43.1254545455,13.5922727273,5.28799545455,23.7181818182,1.97142857143,16.7095454545,12.3561904762,2.56476190476,,,,,12.6986363636,32.709047619,2009-03-01
117,40.6061904762,67.0466666667,67.7319047619,67.7319047619,44.190952381,43.5104761905,15.4066666667,7.37619047619,28.2366666667,2.516,20.2419047619,14.9405,,,16.0,,,15.8295238095,37.496,2009-04-01
118,46.9647,66.6755,69.272,69.272,49.9515,50.296,18.48825,9.13709,31.4695,2.98526315789,21.204,16.7784210526,,,8.0,,,17.235,39.2621052632,2009-05-01
119,49.5654545455,68.6459090909,71.5763636364,71.5763636364,52.5445454545,53.6122727273,18.6856818182,9.57881818182,32.3913636364,3.70954545455,22.9,17.5340909091,,,,,,17.1554545455,39.1159090909,2009-06-01
