DATE,STATE,PRODUCT,DEMAND
3/1/00,SINALOA,TOTAL Diesel,81620
3/1/00,SONORA,TOTAL Magna,68008
3/1/00,SONORA,TOTAL Premium,4486
3/1/00,SONORA,TOTAL Diesel,59481
3/1/00,TABASCO,TOTAL Magna,42308
3/1/00,TABASCO,TOTAL Premium,1717
3/1/00,TABASCO,TOTAL Diesel,33536
3/1/00,TAMAULIPAS,TOTAL Magna,102673
3/1/00,TAMAULIPAS,TOTAL Premium,43581
3/1/00,TAMAULIPAS,TOTAL Diesel,64154
3/1/00,VERACRUZ,TOTAL Magna,107346
3/1/00,VERACRUZ,TOTAL Premium,14155
3/1/00,VERACRUZ,TOTAL Diesel,131482
3/1/00,YUCATAN,TOTAL Magna,56471
3/1/00,YUCATAN,TOTAL Premium,6929
3/1/00,YUCATAN,TOTAL Diesel,55477
3/1/00,ZACATECAS,TOTAL Magna,29834
3/1/00,ZACATECAS,TOTAL Premium,1861
3/1/00,ZACATECAS,TOTAL Diesel,15963
4/1/00,AGUASCALIENTES,TOTAL Magna,36127
4/1/00,AGUASCALIENTES,TOTAL Premium,2444
4/1/00,AGUASCALIENTES,TOTAL Diesel,19603
4/1/00,BAJA CALIFORNIA,TOTAL Magna,106899
4/1/00,BAJA CALIFORNIA,TOTAL Premium,24322
4/1/00,BAJA CALIFORNIA,TOTAL Diesel,43668
4/1/00,BAJA CALIFORNIA SUR,TOTAL Magna,15751
4/1/00,BAJA CALIFORNIA SUR,TOTAL Premium,3249
4/1/00,BAJA CALIFORNIA SUR,TOTAL Diesel,8682
4/1/00,CAMPECHE,TOTAL Magna,12959
4/1/00,CAMPECHE,TOTAL Premium,856
4/1/00,CAMPECHE,TOTAL Diesel,8278
4/1/00,CHIAPAS,TOTAL Magna,38452
4/1/00,CHIAPAS,TOTAL Premium,3329
4/1/00,CHIAPAS,TOTAL Diesel,18012
4/1/00,COAHUILA,TOTAL Magna,44514
4/1/00,COAHUILA,TOTAL Premium,4290
4/1/00,COAHUILA,TOTAL Diesel,34511
4/1/00,CHIHUAHUA,TOTAL Magna,97578
4/1/00,CHIHUAHUA,TOTAL Premium,6183
4/1/00,CHIHUAHUA,TOTAL Diesel,50130
4/1/00,COLIMA,TOTAL Magna,20351
4/1/00,COLIMA,TOTAL Premium,4268
4/1/00,COLIMA,TOTAL Diesel,14134
4/1/00,MEXICO CITY,TOTAL Magna,366674
4/1/00,MEXICO CITY,TOTAL Premium,48051
4/1/00,MEXICO CITY,TOTAL Diesel,93749
4/1/00,DURANGO,TOTAL Magna,52210
4/1/00,DURANGO,TOTAL Premium,4774
4/1/00,DURANGO,TOTAL Diesel,41709
4/1/00,GUANAJUATO,TOTAL Magna,97039
4/1/00,GUANAJUATO,TOTAL Premium,9599
4/1/00,GUANAJUATO,TOTAL Diesel,69798
4/1/00,GUERRERO,TOTAL Magna,34013
4/1/00,GUERRERO,TOTAL Premium,7655
4/1/00,GUERRERO,TOTAL Diesel,13632
4/1/00,HIDALGO,TOTAL Magna,55909
4/1/00,HIDALGO,TOTAL Premium,3746
4/1/00,HIDALGO,TOTAL Diesel,38486
4/1/00,JALISCO,TOTAL Magna,146658
4/1/00,JALISCO,TOTAL Premium,19123
4/1/00,JALISCO,TOTAL Diesel,85304
4/1/00,MEXICO,TOTAL Magna,163249
4/1/00,MEXICO,TOTAL Premium,5962
4/1/00,MEXICO,TOTAL Diesel,66019
4/1/00,MICHOACAN,TOTAL Magna,65225
4/1/00,MICHOACAN,TOTAL Premium,8208
4/1/00,MICHOACAN,TOTAL Diesel,36002
4/1/00,MORELOS,TOTAL Magna,43565
4/1/00,MORELOS,TOTAL Premium,4251
4/1/00,MORELOS,TOTAL Diesel,13349
